,ID,DateTime,Ticker,Close
0,2023.04.25 16:27:00-ABEV3,2023-04-25 16:27:00+00:00,ABEV3,14.26
1,2023.04.25 16:26:00-ABEV3,2023-04-25 16:26:00+00:00,ABEV3,14.26
2,2023.04.25 16:25:00-ABEV3,2023-04-25 16:25:00+00:00,ABEV3,14.26
3,2023.04.25 16:27:00-ALPA4,2023-04-25 16:27:00+00:00,ALPA4,6.99
4,2023.04.25 16:26:00-ALPA4,2023-04-25 16:26:00+00:00,ALPA4,6.99
5,2023.04.25 16:25:00-ALPA4,2023-04-25 16:25:00+00:00,ALPA4,6.99
6,2023.04.25 16:27:00-ALSO3,2023-04-25 16:27:00+00:00,ALSO3,17.92
7,2023.04.25 16:26:00-ALSO3,2023-04-25 16:26:00+00:00,ALSO3,17.94
8,2023.04.25 16:25:00-ALSO3,2023-04-25 16:25:00+00:00,ALSO3,17.93
9,2023.04.25 16:27:00-ARZZ3,2023-04-25 16:27:00+00:00,ARZZ3,62.24
10,2023.04.25 16:26:00-ARZZ3,2023-04-25 16:26:00+00:00,ARZZ3,62.28
11,2023.04.25 16:25:00-ARZZ3,2023-04-25 16:25:00+00:00,ARZZ3,62.41
12,2023.04.25 16:27:00-ASAI3,2023-04-25 16:27:00+00:00,ASAI3,12.33
13,2023.04.25 16:26:00-ASAI3,2023-04-25 16:26:00+00:00,ASAI3,12.34
14,2023.04.25 16:25:00-ASAI3,2023-04-25 16:25:00+00:00,ASAI3,12.35
15,2023.04.25 16:27:00-AZUL4,2023-04-25 16:27:00+00:00,AZUL4,10.36
16,2023.04.25 16:26:00-AZUL4,2023-04-25 16:26:00+00:00,AZUL4,10.36
17,2023.04.25 16:25:00-AZUL4,2023-04-25 16:25:00+00:00,AZUL4,10.36
18,2023.04.25 16:27:00-B3SA3,2023-04-25 16:27:00+00:00,B3SA3,11.79
19,2023.04.25 16:26:00-B3SA3,2023-04-25 16:26:00+00:00,B3SA3,11.82
20,2023.04.25 16:25:00-B3SA3,2023-04-25 16:25:00+00:00,B3SA3,11.83
21,2023.04.25 16:27:00-BBAS3,2023-04-25 16:27:00+00:00,BBAS3,42.88
22,2023.04.25 16:26:00-BBAS3,2023-04-25 16:26:00+00:00,BBAS3,42.93
23,2023.04.25 16:25:00-BBAS3,2023-04-25 16:25:00+00:00,BBAS3,42.95
