,ID,DateTime,Ticker,Close,Close_1
0,2023.04.25 16:27:00-ABEV3,2023-04-25 16:27:00+00:00,ABEV3,14.26,14.26
1,2023.04.25 16:26:00-ABEV3,2023-04-25 16:26:00+00:00,ABEV3,14.26,14.26
2,2023.04.25 16:27:00-ALPA4,2023-04-25 16:27:00+00:00,ALPA4,6.99,6.99
3,2023.04.25 16:26:00-ALPA4,2023-04-25 16:26:00+00:00,ALPA4,6.99,6.99
4,2023.04.25 16:27:00-ALSO3,2023-04-25 16:27:00+00:00,ALSO3,17.92,17.94
5,2023.04.25 16:26:00-ALSO3,2023-04-25 16:26:00+00:00,ALSO3,17.94,17.93
6,2023.04.25 16:27:00-ARZZ3,2023-04-25 16:27:00+00:00,ARZZ3,62.24,62.28
7,2023.04.25 16:26:00-ARZZ3,2023-04-25 16:26:00+00:00,ARZZ3,62.28,62.41
8,2023.04.25 16:27:00-ASAI3,2023-04-25 16:27:00+00:00,ASAI3,12.33,12.34
9,2023.04.25 16:26:00-ASAI3,2023-04-25 16:26:00+00:00,ASAI3,12.34,12.35
10,2023.04.25 16:27:00-AZUL4,2023-04-25 16:27:00+00:00,AZUL4,10.36,10.36
11,2023.04.25 16:26:00-AZUL4,2023-04-25 16:26:00+00:00,AZUL4,10.36,10.36
12,2023.04.25 16:27:00-B3SA3,2023-04-25 16:27:00+00:00,B3SA3,11.79,11.82
13,2023.04.25 16:26:00-B3SA3,2023-04-25 16:26:00+00:00,B3SA3,11.82,11.83
14,2023.04.25 16:27:00-BBAS3,2023-04-25 16:27:00+00:00,BBAS3,42.88,42.93
15,2023.04.25 16:26:00-BBAS3,2023-04-25 16:26:00+00:00,BBAS3,42.93,42.95
16,2023.04.25 16:27:00-BBDC3,2023-04-25 16:27:00+00:00,BBDC3,12.29,12.3
17,2023.04.25 16:26:00-BBDC3,2023-04-25 16:26:00+00:00,BBDC3,12.3,12.3
18,2023.04.25 16:27:00-BBDC4,2023-04-25 16:27:00+00:00,BBDC4,13.65,13.66
19,2023.04.25 16:26:00-BBDC4,2023-04-25 16:26:00+00:00,BBDC4,13.66,13.66
20,2023.04.25 16:27:00-BBSE3,2023-04-25 16:27:00+00:00,BBSE3,34.61,34.61
21,2023.04.25 16:26:00-BBSE3,2023-04-25 16:26:00+00:00,BBSE3,34.61,34.62
22,2023.04.25 16:27:00-BEEF3,2023-04-25 16:27:00+00:00,BEEF3,8.42,8.43
23,2023.04.25 16:26:00-BEEF3,2023-04-25 16:26:00+00:00,BEEF3,8.43,8.44
24,2023.04.25 16:27:00-BPAC11,2023-04-25 16:27:00+00:00,BPAC11,22.67,22.69
25,2023.04.25 16:26:00-BPAC11,2023-04-25 16:26:00+00:00,BPAC11,22.69,22.7
26,2023.04.25 16:27:00-BPAN4,2023-04-25 16:27:00+00:00,BPAN4,5.21,5.21
27,2023.04.25 16:26:00-BPAN4,2023-04-25 16:26:00+00:00,BPAN4,5.21,5.22
28,2023.04.25 16:27:00-BRAP4,2023-04-25 16:27:00+00:00,BRAP4,23.9,23.88
29,2023.04.25 16:26:00-BRAP4,2023-04-25 16:26:00+00:00,BRAP4,23.88,23.87
30,2023.04.25 16:27:00-BRFS3,2023-04-25 16:27:00+00:00,BRFS3,5.88,5.89
31,2023.04.25 16:26:00-BRFS3,2023-04-25 16:26:00+00:00,BRFS3,5.89,5.9
32,2023.04.25 16:27:00-BRKM5,2023-04-25 16:27:00+00:00,BRKM5,19.43,19.43
33,2023.04.25 16:26:00-BRKM5,2023-04-25 16:26:00+00:00,BRKM5,19.43,19.41
34,2023.04.25 16:27:00-CASH3,2023-04-25 16:27:00+00:00,CASH3,0.85,0.84
